Date,Time,PM2.5_µg/m³_combustion_particles_organic_compounds_metals_sensor,PM2.5_mg/m³_aeroequal,PM2.5_µg/m³_council,PM10_µg/m³_dust_pollen_mould_spores_sensor,PM10_mg/m³_aeroequal,PM10_µg/m³_council,NO2_ppb_sensor,NO2_ppm_aeroequal,NO2_µg/m³_council,Wind_value_km/h,PM1.0_µg/m³_ultrafine_particles_sensor,PM1.0_µg/m³_atmos_env,PM2.5_µg/m³_atmos_env,PM10_µg/m³_atmos_env,GT_0.3um_in_0.1l_air,GT_0.5um_in_0.1l_air,GT_1.0um_in_0.1l_air,GT_2.5um_in_0.1l_air,GT_5.0um_in_0.1l_air,GT_10um_in_0.1l_air,CO2_in_ppm,Temperature_in_c,Relative_humidity,NO2_µg/m³_sensor,Temp_value_°c,NO_µg/m³_council,NOx_as_NO2_µg/m³_council,NV10_µg/m³_council,NV2.5_µg/m³_council,V10_µg/m³_council,V2.5_µg/m³_council
2024-08-19,14:00:00,24.1,0.0037333333333333333,21.9,27.766666666666666,0.008316666666666667,32.3,0.7594372784313725,0.0004,15.36216,0.17333333333333334,14.533333333333333,14.533333333333333,24.1,27.766666666666666,2423.1,727.6666666666666,183.41666666666666,16.55,4.366666666666666,4.366666666666666,412.9576666666666,25.51033333333333,48.857499999999995,1.4524238137254903,24.601666666666667,12.09569,33.90863,24.8,18.1,7.5,3.8
2024-08-19,15:00:00,40.63333333333333,0.0049833333333333335,29.5,46.43333333333333,0.011033333333333334,34.9,-2.6853980723404254,0.0017333333333333335,9.333,0.08833333333333333,23.05,20.483333333333334,33.9,42.36666666666667,3757.6,1138.2,320.96666666666664,26.7,7.2,6.0,384.37233333333336,25.1735,50.0585,-5.1358239,23.341666666666665,14.43438,31.46541,33.5,26.7,1.5,2.8
2024-08-19,16:00:00,58.03333333333333,0.005183333333333333,30.0,63.46666666666667,0.011383333333333332,27.9,0.28635186727272727,0.0037500000000000003,19.55053,0.054098360655737705,30.266666666666666,25.983333333333334,44.75,55.93333333333333,5077.0,1510.9833333333333,460.68333333333334,47.05,7.066666666666666,5.3,380.49216666666666,24.929666666666666,51.294333333333334,0.5476479527272727,22.398360655737704,15.80953,43.79147,35.1,28.2,-7.1,1.8
2024-08-19,17:00:00,62.45,0.004916666666666666,28.4,70.75,0.010833333333333334,49.7,-0.005001909090909091,0.0018666666666666666,22.59141,0.005,30.833333333333332,26.033333333333335,46.416666666666664,59.766666666666666,5253.1,1566.1666666666667,498.9,61.81666666666667,10.4,9.2,380.65399999999994,24.751666666666665,52.32033333333333,-0.009566150909090911,22.39833333333333,15.44781,46.27772,44.4,27.3,5.3,1.2
2024-08-19,18:00:00,62.8,0.004766666666666667,27.4,69.73333333333333,0.0098,41.7,0.055197878181818184,0.0020833333333333333,21.22397,0.11666666666666667,30.383333333333333,25.716666666666665,46.46666666666667,58.983333333333334,5214.5,1575.8333333333333,489.1166666666667,58.88333333333333,8.633333333333333,7.5,419.39166666666665,24.996,52.265499999999996,0.10556593636363637,23.403333333333332,16.29286,46.206,35.9,25.8,5.8,1.7
2024-08-19,19:00:00,61.516666666666666,0.0044,25.3,65.31666666666666,0.010066666666666666,36.3,-0.680260252,0.0019333333333333333,14.87447,0.23166666666666666,31.5,26.333333333333332,46.083333333333336,56.916666666666664,5189.4,1561.4,471.25,55.583333333333336,5.0,2.6666666666666665,414.1765,24.304666666666666,53.28283333333333,-1.300997744,21.705,10.9856,31.71881,30.4,23.1,5.8,2.2
2024-08-19,20:00:00,59.54545454545455,0.0036363636363636364,14.2,67.27272727272727,0.008090909090909091,23.5,0.006023400000000008,0.005636363636363636,13.95169,0.24166666666666667,28.545454545454547,24.545454545454547,45.27272727272727,57.63636363636363,5028.818181818182,1512.6363636363637,461.1818181818182,64.54545454545455,10.727272727272727,6.545454545454546,388.0918181818182,23.846363636363638,54.33090909090909,0.011519749999999988,20.616666666666667,8.63755,27.19575,19.3,13.3,4.2,0.9
2024-08-20,10:00:00,3.0,0.00028571428571428574,1.1,3.9,0.00075,3.6,-0.38111236000000004,0.00356,11.48456,0.5307692307692308,1.45,1.45,3.0,3.9,392.55,112.75,28.0,5.0,1.3,1.3,502.35299999999995,24.1025,60.347500000000004,-0.72887739,22.634615384615383,11.26,28.74966,0.1,1.3,3.5,-0.2
2024-08-20,11:00:00,1.9333333333333333,0.00031666666666666665,4.0,3.183333333333333,0.0008166666666666667,5.9,0.17699128545454543,0.0,9.30909,0.28,1.1833333333333333,1.1833333333333333,1.9333333333333333,3.183333333333333,320.4,101.15,22.9,1.9,1.0,1.0,390.74983333333336,24.688499999999998,56.2615,0.3384958509090909,23.146666666666665,8.02949,21.62081,2.1,3.4,3.8,0.6
2024-08-20,12:00:00,2.1,0.0006166666666666666,5.9,2.7,0.0014833333333333332,12.9,0.7638908872727274,3.3333333333333335e-05,10.863,0.5333333333333333,1.2833333333333334,1.2833333333333334,2.1,2.7,337.9,104.46666666666667,25.916666666666668,1.6666666666666667,0.3,0.3,352.827,25.069666666666667,52.30416666666667,1.4609413381818181,23.69,8.06068,23.22253,6.3,3.4,6.7,2.5
2024-08-20,13:00:00,5.25,0.0008,1.2,7.0,0.0016,11.2,1.3725954,0.004166666666666667,12.96675,0.95,3.0,3.0,5.25,7.0,631.5,207.0,38.0,4.0,2.0,2.0,305.64250000000004,25.0975,52.14,2.6250887666666665,23.95,12.85655,32.67984,10.9,4.3,0.4,-3.1
2024-08-21,10:00:00,1.7777777777777777,0.0004347826086956522,4.0,4.666666666666667,0.0023913043478260873,12.0,-1.2286365937500001,0.0,11.56584,0.8227272727272728,0.6111111111111112,0.6111111111111112,1.7777777777777777,4.666666666666667,223.83333333333334,72.77777777777777,20.444444444444443,6.111111111111111,4.444444444444445,2.4444444444444446,397.51722222222224,22.992222222222225,48.970555555555556,-2.34976755,20.354545454545455,11.31613,28.917,9.6,4.6,2.4,-0.6
2024-08-21,11:00:00,1.2666666666666666,0.0006000000000000001,0.0,2.8,0.0020833333333333333,0.0,-1.4815670327272727,0.0,11.2455,0.715,0.2833333333333333,0.2833333333333333,1.2666666666666666,2.8,195.4,60.233333333333334,15.9,5.033333333333333,2.1666666666666665,1.0,378.46233333333333,23.031333333333336,46.09666666666667,-2.833496992727273,20.303333333333335,62.12801,106.50713,0.0,0.0,0.0,0.0
